"","LMA_gDW_m2.13.comps"
"Wave_972",-0.0439922517980025
"Wave_973",-0.016524014284543
"Wave_974",0.00892446753376045
"Wave_975",0.00778035578535668
"Wave_976",-0.0174589824009465
"Wave_977",-0.0221143069924669
"Wave_978",0.0174305392206593
"Wave_979",0.0312526474892693
"Wave_980",0.0336091257522018
"Wave_981",0.0261900807958623
"Wave_982",0.0163881036726118
"Wave_983",0.00318588347194241
"Wave_984",0.00594349334754592
"Wave_985",0.0156605545950896
"Wave_986",0.0246642889395553
"Wave_987",0.0301244760430151
"Wave_988",0.0191083122044591
"Wave_989",0.00911948127653748
"Wave_990",-0.000345477913950225
"Wave_991",0.0017994419779204
"Wave_992",0.0245010171520243
"Wave_993",0.0465478909959803
"Wave_994",0.0686526833564311
"Wave_995",0.0622529058205127
"Wave_996",0.047961819210695
"Wave_997",0.0346065891379017
"Wave_998",0.0195929083338049
"Wave_999",0.0210634040990016
"Wave_1000",0.0240062060989476
"Wave_1001",0.0251366268067864
"Wave_1002",0.0251033268985408
"Wave_1003",0.0230482166162329
"Wave_1004",0.0233497606128669
"Wave_1005",0.0222834890480298
"Wave_1006",0.0193992964045263
"Wave_1007",0.0156404751359407
"Wave_1008",0.011861667644716
"Wave_1009",0.00605496472919701
"Wave_1010",-1.71910342242655e-05
"Wave_1011",-0.00729299839666267
"Wave_1012",-0.0147039038577631
"Wave_1013",-0.0219803843594044
"Wave_1014",-0.0310268664401809
"Wave_1015",-0.0399873473074885
"Wave_1016",-0.0486738611334767
"Wave_1017",-0.0573444860790438
"Wave_1018",-0.0607084574452053
"Wave_1019",-0.0655006754025391
