"","LMA_gDW_m2.9.comps"
"Wave_924",-0.012330762526835
"Wave_925",-0.0262492670129448
"Wave_926",-0.0507806412437788
"Wave_927",-0.0441713465777444
"Wave_928",-0.0200199160295836
"Wave_929",0.0134654660824154
"Wave_930",0.0365055782077807
"Wave_931",0.062688837732408
"Wave_932",0.126292609664532
"Wave_933",0.233584188243766
"Wave_934",0.30345503636338
"Wave_935",0.271579811268765
"Wave_936",0.265427718749577
"Wave_937",0.303570353386568
"Wave_938",0.220204205902839
"Wave_939",0.0470410836218647
"Wave_940",0.0347698291185344
"Wave_941",0.113328430771105
"Wave_942",0.141310415069693
"Wave_943",0.17203812797683
"Wave_944",0.144337752156694
"Wave_945",0.125988067078763
"Wave_946",0.130100852885986
"Wave_947",0.171906944664738
"Wave_948",0.201429444298405
"Wave_949",0.10332546640321
"Wave_950",0.0797150223335865
"Wave_951",0.0907898836257165
"Wave_952",0.174109590404913
"Wave_953",0.167118199213612
"Wave_954",0.152827308152637
"Wave_955",0.111900382372085
"Wave_956",0.142109800313832
"Wave_957",0.192047468802432
"Wave_958",0.182345977821165
"Wave_959",0.118300902396901
"Wave_960",0.114409142402239
"Wave_961",0.123049285573925
"Wave_962",0.0214604453512926
"Wave_963",0.128183986986222
"Wave_964",0.0817761665846207
"Wave_965",0.0863995031214344
"Wave_966",0.0574587621708522
"Wave_967",0.0508000391294543
"Wave_968",0.0522736643664541
"Wave_969",0.0166928450483264
"Wave_970",-0.0133283265889455
"Wave_971",-0.0473059646269236
"Wave_972",-0.0191312907847517
"Wave_973",0.010541970711567
"Wave_974",0.0122596483884155
"Wave_975",0.0180992567796751
"Wave_976",0.0536366554736681
"Wave_977",0.0881879756009357
"Wave_978",0.077581948613127
"Wave_979",0.0816635811106955
"Wave_980",0.0859007442716303
"Wave_981",0.0839181042185632
"Wave_982",0.0827310900827035
"Wave_983",0.0711387609353554
"Wave_984",0.0766441076155515
"Wave_985",0.0756252614011153
"Wave_986",0.0820011715399685
"Wave_987",0.0842927345107623
"Wave_988",0.0540228373018728
"Wave_989",0.0280054004768586
"Wave_990",0.010882507882888
"Wave_991",-0.0105244189439087
"Wave_992",-0.0342083099709036
"Wave_993",-0.0585533244869179
"Wave_994",-0.0803400316257977
"Wave_995",-0.114031073216744
"Wave_996",-0.105997928765536
"Wave_997",-0.105305605069911
"Wave_998",-0.101252508436977
"Wave_999",-0.0965562523352455
"Wave_1000",-0.087380799299664
"Wave_1001",-0.0782368456991494
"Wave_1002",-0.0765686091574908
"Wave_1003",-0.0859722159435271
"Wave_1004",-0.0836300167509006
"Wave_1005",-0.0785984359654757
"Wave_1006",-0.0784420814436393
"Wave_1007",-0.0746528986812256
"Wave_1008",-0.0588658190175671
"Wave_1009",-0.0431597073595616
"Wave_1010",-0.0306977525153512
"Wave_1011",-0.0251637391600842
"Wave_1012",-0.0289678579378714
"Wave_1013",-0.02900962235064
"Wave_1014",-0.0290986872704497
"Wave_1015",-0.0350505968673783
"Wave_1016",-0.0320838625064119
"Wave_1017",-0.0326732000301357
"Wave_1018",-0.03144661108143
"Wave_1019",-0.0260718016216751
"Wave_1020",-0.0217092797031399
"Wave_1021",-0.0184394070363921
"Wave_1022",-0.0128317192072023
"Wave_1023",-0.0154998398245279
"Wave_1024",-0.019837828793142
"Wave_1025",-0.0230378017841705
"Wave_1026",-0.013582552772076
"Wave_1027",-0.0211526204606937
"Wave_1028",-0.0252442310703985
"Wave_1029",-0.0194546653409053
"Wave_1030",-0.0203972453542313
"Wave_1031",-0.0216267333832914
"Wave_1032",-0.0117740416240963
"Wave_1033",-0.0086493003935062
"Wave_1034",-0.0062565431302725
"Wave_1035",-0.00602330843285359
"Wave_1036",-0.00408111848941835
"Wave_1037",-0.00643757324759628
"Wave_1038",-0.00974441970567462
"Wave_1039",-0.0146747339281875
"Wave_1040",-0.0143022044633598
"Wave_1041",-0.0108141713350114
"Wave_1042",-0.0167002063465334
"Wave_1043",-0.0143644711596209
"Wave_1044",-0.00427121666953593
"Wave_1045",-0.00256451292048582
"Wave_1046",-0.00206253644574871
"Wave_1047",0.00486872059530132
"Wave_1048",0.00952482339996453
"Wave_1049",0.00880402876728835
"Wave_1050",0.0153560154975864
"Wave_1051",0.0160069148200843
"Wave_1052",0.0185028932538571
"Wave_1053",0.0233615228752456
"Wave_1054",0.0282727604463422
"Wave_1055",0.0348369816857413
"Wave_1056",0.0400044263694054
"Wave_1057",0.0421606519611051
"Wave_1058",0.0482602053686693
"Wave_1059",0.0652483169472506
"Wave_1060",0.0560929545362028
"Wave_1061",0.0546521222483078
"Wave_1062",0.0557166456990082
"Wave_1063",0.0543507312342293
"Wave_1064",0.0544620929366401
"Wave_1065",0.0535575269188805
"Wave_1066",0.0561946418473781
"Wave_1067",0.0494086111768617
"Wave_1068",0.0414516928172993
"Wave_1069",0.0397923349696669
"Wave_1070",0.0371467325700165
"Wave_1071",0.0326030436482525
"Wave_1072",0.036354062518642
"Wave_1073",0.0293794313979908
"Wave_1074",0.0286239024375366
"Wave_1075",0.0299406847405685
"Wave_1076",0.0330909098221414
"Wave_1077",0.0329345136802014
"Wave_1078",0.0338679782676746
"Wave_1079",0.0357253747246419
"Wave_1080",0.0305392959658256
"Wave_1081",0.0217438143061897
"Wave_1082",0.0164258501274565
"Wave_1083",0.00896939164499072
"Wave_1084",0.00510273111661913
"Wave_1085",0.00405595153147325
"Wave_1086",0.000647356389681195
"Wave_1087",0.000871068245402432
"Wave_1088",0.00483804183919578
"Wave_1089",0.00889346017603582
"Wave_1090",0.00116057771498762
"Wave_1091",0.00150871965599229
"Wave_1092",0.00158576169888333
"Wave_1093",-0.00736624299075231
