"","CN_ratio.16.comps"
"Wave_802",0.0340516051515274
"Wave_803",0.0553075603686401
"Wave_804",0.0687112349171058
"Wave_805",0.0566440328165975
"Wave_806",0.042884562007486
"Wave_807",0.036325034171797
"Wave_808",0.024215480037486
"Wave_809",0.063475233624472
"Wave_810",0.0652361823289326
"Wave_811",0.0587193548452113
"Wave_812",0.0517018233453955
"Wave_813",0.0628511973866775
"Wave_814",0.0649898744909936
"Wave_815",0.0549563824481716
"Wave_816",0.0507098363228716
"Wave_817",0.0628946085936381
"Wave_818",0.0722499647085638
"Wave_819",0.0411354408380321
"Wave_820",0.0224214951449969
"Wave_821",0.018498128464033
"Wave_822",0.0184575497120037
"Wave_823",0.0325406075310723
"Wave_824",0.0208565352853587
"Wave_825",0.0308899639434744
"Wave_826",0.0337991934138576
"Wave_827",0.0425687034725832
"Wave_828",0.0518329653642956
"Wave_829",0.0408899844224663
"Wave_830",0.0404624837542002
"Wave_831",0.0404743136156391
"Wave_832",0.0296273833733176
"Wave_833",0.0345147256079714
"Wave_834",0.0465162324726015
"Wave_835",0.0478614245842499
"Wave_836",0.0371495673983753
"Wave_837",0.065737101415941
"Wave_838",0.0867469857421932
"Wave_839",0.0740360143643485
"Wave_840",0.0563637266708913
"Wave_841",0.0112885418513888
"Wave_842",-0.0289156256510812
"Wave_843",0.00156925850051712
"Wave_844",0.0153544255000335
"Wave_845",0.0272929672962641
"Wave_846",0.0284290301005415
"Wave_847",0.00301553478985619
"Wave_848",-0.0312465559276673
"Wave_849",0.0193059606430023
"Wave_850",0.0288075797272804
"Wave_851",0.0418866978166758
"Wave_852",0.029199706588616
"Wave_853",-0.0107816156261758
"Wave_854",0.0267611269167271
"Wave_855",0.0344411591288058
"Wave_856",0.0129584155422519
"Wave_857",0.00825233266022743
"Wave_858",0.00462739198337706
"Wave_859",-0.024094989297757
"Wave_860",-0.0745677688759614
"Wave_861",-0.0585770194012484
"Wave_862",-0.0349390863645544
"Wave_863",-0.0178262559684194
"Wave_864",-0.00753555827976696
"Wave_865",-0.0094127343158562
"Wave_866",-0.0127839061443034
"Wave_867",0.00250104542049402
"Wave_868",0.013878015182588
"Wave_869",0.016333048538635
"Wave_870",0.0279391014040393
"Wave_871",0.0461693099533396
"Wave_872",0.0161535388991382
"Wave_873",0.00862462421021469
"Wave_874",-0.00276958282741652
"Wave_875",-0.040575597722051
"Wave_876",-0.0598199853250261
"Wave_877",-0.0227998835789333
"Wave_878",-0.0114861577260615
"Wave_879",-0.00172091334266804
"Wave_880",0.00670183502593271
"Wave_881",-0.0101710520282774
"Wave_882",-0.00148480696383072
"Wave_883",-0.0171937166749671
"Wave_884",-0.0172468952136286
"Wave_885",-0.0218076593717804
"Wave_886",-0.0146625336422809
"Wave_887",-0.0120657474441572
"Wave_888",-0.00201794893790551
"Wave_889",0.00851484321253461
"Wave_890",0.00431982972345114
"Wave_891",-0.000573077774274477
"Wave_892",-0.00161069984622345
"Wave_893",-0.00957229897169416
"Wave_894",-0.00278892964152379
"Wave_895",0.00319848145462213
"Wave_896",-0.00928046438703182
"Wave_897",-0.0151770450567588
"Wave_898",-0.023881592803421
"Wave_899",-0.0228566789591985
"Wave_900",0.0144698033967658
"Wave_901",0.00799162280684643
"Wave_902",0.00400539149280218
"Wave_903",0.0210569022477938
"Wave_904",0.0270199655064987
"Wave_905",0.000575867222322924
"Wave_906",-0.0205450419096886
"Wave_907",-0.0286344514967308
"Wave_908",-0.0126528308880693
