"","Jmax25_Rog.13.comps"
"Wave_1204",-0.132853341347992
"Wave_1205",-0.128691729914455
"Wave_1206",-0.119623343171747
"Wave_1207",-0.110756291006221
"Wave_1208",-0.104799889130611
"Wave_1209",-0.120130755793709
"Wave_1210",-0.136106762547537
"Wave_1211",-0.157665007880515
"Wave_1212",-0.171670028649123
"Wave_1213",-0.171485103960137
"Wave_1214",-0.163762973080784
"Wave_1215",-0.151026222468652
"Wave_1216",-0.128300779172869
"Wave_1217",-0.0967152553347099
"Wave_1218",-0.0570979532012905
"Wave_1219",-0.0391366418276753
"Wave_1220",-0.0547217735146652
"Wave_1221",-0.0872806778917327
"Wave_1222",-0.124105347904853
"Wave_1223",-0.147601408391189
"Wave_1224",-0.147539338836358
"Wave_1225",-0.148907977134804
"Wave_1226",-0.157875098793414
"Wave_1227",-0.162189448332189
"Wave_1228",-0.149574210298816
"Wave_1229",-0.129575354222291
"Wave_1230",-0.115784046801215
"Wave_1231",-0.10533560081281
"Wave_1232",-0.106623970328548
"Wave_1233",-0.0978360208203791
"Wave_1234",-0.079333477228431
"Wave_1235",-0.0560819559634589
"Wave_1236",-0.0232373920679487
"Wave_1237",0.006481028509935
"Wave_1238",0.0122319685309501
"Wave_1239",0.00803512769004784
"Wave_1240",0.000306320371890363
"Wave_1241",-0.000277749936913096
"Wave_1242",-0.0089565362565315
"Wave_1243",-0.018584423742553
"Wave_1244",-0.0224331410998783
"Wave_1245",-0.0202170624829853
"Wave_1246",-0.0168730517631506
"Wave_1247",-0.017449879769766
"Wave_1248",-0.0228876759454412
"Wave_1249",-0.0386543732035656
"Wave_1250",-0.068623983196264
"Wave_1251",-0.0871803949389227
"Wave_1252",-0.106147795982806
"Wave_1253",-0.114189347614035
"Wave_1254",-0.112641476053606
"Wave_1255",-0.106600731159122
"Wave_1256",-0.0935139456281337
"Wave_1257",-0.083945244450196
"Wave_1258",-0.0658502395271754
"Wave_1259",-0.0478846101237961
"Wave_1260",-0.0385693182414105
"Wave_1261",-0.0396961156165692
"Wave_1262",-0.0557256325825138
"Wave_1263",-0.0786444594489097
"Wave_1264",-0.0774408751077999
