"","CN_ratio.5.comps"
"Wave_910",0.0181234539641612
"Wave_911",0.0182089497668813
"Wave_912",0.0175476673025825
"Wave_913",0.0187141241849344
"Wave_914",0.0199586588321142
"Wave_915",0.0205699677750428
"Wave_916",0.0208843889792127
"Wave_917",0.0216459093474228
"Wave_918",0.0189763436354672
"Wave_919",0.0172889682342933
"Wave_920",0.0162172619129013
"Wave_921",0.0150970275040522
"Wave_922",0.0159288994884143
"Wave_923",0.0161350190796688
"Wave_924",0.0137675187680884
"Wave_925",0.0132594521666209
"Wave_926",0.0114994134070214
"Wave_927",0.0107707775260577
"Wave_928",0.0127134382380218
"Wave_929",0.0131483317723325
"Wave_930",0.0145898103590171
"Wave_931",0.0186394734887853
"Wave_932",0.02287491915948
"Wave_933",0.0309254642361233
"Wave_934",0.0338186083428269
"Wave_935",0.0325175755904269
"Wave_936",0.0332768686407659
"Wave_937",0.032010343749781
"Wave_938",0.025775950491959
"Wave_939",0.0170008734094211
"Wave_940",0.0118977152299925
"Wave_941",0.0175910670258109
"Wave_942",0.0220740956073695
"Wave_943",0.0222879477078104
"Wave_944",0.0211449133553792
"Wave_945",0.0209203687808248
"Wave_946",0.0233270770826037
"Wave_947",0.0240015526345261
"Wave_948",0.0230726127852029
"Wave_949",0.0199324010608686
"Wave_950",0.0199766552002295
"Wave_951",0.0203171139811468
"Wave_952",0.0199901388089957
"Wave_953",0.0186514405248552
"Wave_954",0.0211074604395284
"Wave_955",0.0234689078487649
"Wave_956",0.0236109725936735
"Wave_957",0.0199138936389691
"Wave_958",0.0179141190821093
"Wave_959",0.0161977784055794
"Wave_960",0.0168954950045095
"Wave_961",0.0190394992099273
"Wave_962",0.0147389403484523
"Wave_963",0.0153537431361382
"Wave_964",0.015036816997512
"Wave_965",0.0147785300678139
"Wave_966",0.0144162283304781
"Wave_967",0.0130980333518306
"Wave_968",0.0118837870885427
"Wave_969",0.00963008602338096
"Wave_970",0.00900682906801209
"Wave_971",0.0076297627926427
"Wave_972",0.0093816549665098
"Wave_973",0.0102475848997617
"Wave_974",0.00955680977819582
"Wave_975",0.0122075622028198
"Wave_976",0.0111938109401115
"Wave_977",0.0135967979993241
"Wave_978",0.0120667509753355
"Wave_979",0.0133790799529793
"Wave_980",0.0130646286700634
"Wave_981",0.0126268394003399
"Wave_982",0.0113202098005417
"Wave_983",0.010283862070062
"Wave_984",0.00958906901700842
"Wave_985",0.00945566060995284
"Wave_986",0.00871410245751095
"Wave_987",0.00704433292912501
"Wave_988",0.00504505110609511
"Wave_989",0.00313414537055047
"Wave_990",0.0014835438124509
"Wave_991",-0.000290528359294604
"Wave_992",-0.00198871932065927
"Wave_993",-0.00374557492056903
"Wave_994",-0.00643260982533926
"Wave_995",-0.00784614932912455
"Wave_996",-0.00883872981728587
"Wave_997",-0.00919446813282963
"Wave_998",-0.00956717825458059
"Wave_999",-0.00957718848926366
"Wave_1000",-0.00897173753562412
"Wave_1001",-0.00836634180157546
"Wave_1002",-0.00795467564790459
"Wave_1003",-0.00731822124345638
"Wave_1004",-0.00717879450414142
"Wave_1005",-0.00782136031440321
"Wave_1006",-0.00791714851822827
"Wave_1007",-0.00719564477974843
"Wave_1008",-0.00687235946775357
"Wave_1009",-0.00657223791980438
"Wave_1010",-0.00644488125088228
"Wave_1011",-0.00653648080567129
"Wave_1012",-0.00698337021928663
"Wave_1013",-0.00727165761502561
"Wave_1014",-0.00735474036820429
"Wave_1015",-0.00636720113798957
"Wave_1016",-0.00584848093088154
"Wave_1017",-0.00539562516321845
"Wave_1018",-0.00498248713315269
"Wave_1019",-0.00489083683175168
"Wave_1020",-0.00494291570695793
"Wave_1021",-0.00504050141356633
"Wave_1022",-0.00503186617579659
"Wave_1023",-0.00504251468129007
"Wave_1024",-0.00511832931571555
"Wave_1025",-0.00510631700776186
"Wave_1026",-0.00568120157202581
"Wave_1027",-0.00501868693517808
"Wave_1028",-0.00508482689576915
"Wave_1029",-0.00485553175430874
"Wave_1030",-0.00392524231786508
"Wave_1031",-0.00407413048607015
"Wave_1032",-0.00479030183528068
"Wave_1033",-0.00478066209910103
"Wave_1034",-0.00481374438624451
"Wave_1035",-0.00492961360126208
"Wave_1036",-0.00495188063137225
"Wave_1037",-0.00507862708254405
"Wave_1038",-0.00503943512639243
"Wave_1039",-0.00494387675434715
"Wave_1040",-0.00559544818044981
"Wave_1041",-0.00519686865763015
"Wave_1042",-0.00429002869426078
"Wave_1043",-0.00405191296178998
"Wave_1044",-0.00357020622023969
"Wave_1045",-0.00343895587520553
"Wave_1046",-0.00339095181263225
"Wave_1047",-0.0031736429850884
"Wave_1048",-0.0029720689484742
"Wave_1049",-0.00278310612108622
"Wave_1050",-0.00242578675452071
"Wave_1051",-0.0021683801485559
"Wave_1052",-0.00185129247417993
"Wave_1053",-0.00157829445416802
"Wave_1054",-0.00130905792313771
"Wave_1055",-0.000938585461265708
"Wave_1056",-0.000535220735380972
"Wave_1057",-0.00022014220258564
"Wave_1058",0.000126340260038599
"Wave_1059",-0.000171590649414156
"Wave_1060",0.000602920588246408
"Wave_1061",0.000608372110508586
"Wave_1062",0.000665515381980001
"Wave_1063",0.000711270870697042
"Wave_1064",0.000868850442441813
"Wave_1065",0.000918773688498832
"Wave_1066",0.00103538817613274
"Wave_1067",0.000852862893607542
"Wave_1068",0.000522504667183468
"Wave_1069",0.000346769624269803
"Wave_1070",0.000136614664176652
"Wave_1071",-3.4599646300707e-05
"Wave_1072",-0.000926979540104515
"Wave_1073",-0.00124821021254797
"Wave_1074",-0.00132675488847616
"Wave_1075",-0.00129680624850321
"Wave_1076",-0.00134525273292066
"Wave_1077",-0.00159415967251123
"Wave_1078",-0.00179401181121788
"Wave_1079",-0.00177797468894322
"Wave_1080",-0.00176560640472709
"Wave_1081",-0.00184985049148075
"Wave_1082",-0.00183755237975289
"Wave_1083",-0.00174103321589003
"Wave_1084",-0.00173591742853582
"Wave_1085",-0.00161232328516389
"Wave_1086",-0.00148346928482397
"Wave_1087",-0.00136552688761076
"Wave_1088",-0.00132406826852197
"Wave_1089",-0.00127634501594182
"Wave_1090",-0.000632539848121378
"Wave_1091",-0.00150629310576138
"Wave_1092",-0.00134669921031355
"Wave_1093",-0.000538745604551242
"Wave_1094",-0.0010333751312138
"Wave_1095",-0.000776739685774334
"Wave_1096",3.95265900995862e-05
"Wave_1097",0.000311012724540754
"Wave_1098",0.000563773292218076
"Wave_1099",0.000735581108405353
"Wave_1100",0.000972887482033638
"Wave_1101",0.000422989210820029
"Wave_1102",0.00118426034345041
"Wave_1103",0.00110665028031318
"Wave_1104",0.0011354418647989
"Wave_1105",0.00141766251333017
"Wave_1106",0.00163198863620058
"Wave_1107",0.0012540651479826
"Wave_1108",0.00164561968659472
"Wave_1109",0.0022187847221162
"Wave_1110",0.00262255213316715
"Wave_1111",0.00361586948396279
"Wave_1112",0.00417760163350621
"Wave_1113",0.00426461173729422
"Wave_1114",0.00485204936930051
"Wave_1115",0.00435873989654484
"Wave_1116",0.00419131339542557
"Wave_1117",0.00439012244313428
"Wave_1118",0.00384877518143954
"Wave_1119",0.00381763387351266
"Wave_1120",0.00417082007844762
"Wave_1121",0.00287085031622483
"Wave_1122",0.00190304223639591
"Wave_1123",0.00100757323739885
"Wave_1124",-0.000332487192740317
"Wave_1125",-0.00118927465182313
"Wave_1126",-0.00252804146505207
"Wave_1127",-0.0038060674743759
"Wave_1128",-0.00506251506546364
"Wave_1129",-0.00599449167704101
"Wave_1130",-0.00687341653461653
"Wave_1131",-0.00767591030350422
"Wave_1132",-0.00812302568390986
"Wave_1133",-0.0087209320080823
"Wave_1134",-0.00916563052965734
"Wave_1135",-0.00932889160068357
"Wave_1136",-0.0090788696911304
"Wave_1137",-0.00871198186006524
"Wave_1138",-0.00893873283141965
"Wave_1139",-0.00897806966799289
"Wave_1140",-0.00864696015318659
"Wave_1141",-0.00991632876671397
"Wave_1142",-0.00999822624850089
"Wave_1143",-0.0103578184616005
"Wave_1144",-0.0116563404768631
"Wave_1145",-0.0108239186388645
"Wave_1146",-0.0107002710338723
"Wave_1147",-0.0116685457795998
"Wave_1148",-0.0118144178683397
"Wave_1149",-0.0117376397126203
"Wave_1150",-0.01199102093604
"Wave_1151",-0.0128424531133604
"Wave_1152",-0.0129264718932345
"Wave_1153",-0.0125094036949195
"Wave_1154",-0.0134439120151371
"Wave_1155",-0.0142775521545852
"Wave_1156",-0.0138190882450813
"Wave_1157",-0.0144510977600365
"Wave_1158",-0.0145155852580065
"Wave_1159",-0.0141184501666811
"Wave_1160",-0.0139760311152189
"Wave_1161",-0.0138995451966056
"Wave_1162",-0.0144353601311256
"Wave_1163",-0.014309025386598
"Wave_1164",-0.0140387842352802
"Wave_1165",-0.0137995024778157
"Wave_1166",-0.0136272496982796
"Wave_1167",-0.013363947461329
"Wave_1168",-0.013218356318482
"Wave_1169",-0.0131695625879909
"Wave_1170",-0.0129790695758413
"Wave_1171",-0.0131519814064557
"Wave_1172",-0.0131127914805033
"Wave_1173",-0.0132694221620696
"Wave_1174",-0.0133602393249853
"Wave_1175",-0.0135685806621265
"Wave_1176",-0.0139840342243363
"Wave_1177",-0.0139454223717266
"Wave_1178",-0.0141545513460933
"Wave_1179",-0.0142215309671139
"Wave_1180",-0.0143608509594579
"Wave_1181",-0.0145315690114366
"Wave_1182",-0.0144079469189821
"Wave_1183",-0.0145392717593031
"Wave_1184",-0.0146129088903779
"Wave_1185",-0.0147693636339943
"Wave_1186",-0.0149938851487185
"Wave_1187",-0.0152252288941314
"Wave_1188",-0.0154896053884295
"Wave_1189",-0.0158838050258276
"Wave_1190",-0.0160754604163261
"Wave_1191",-0.0161533549982195
"Wave_1192",-0.0161629032992585
"Wave_1193",-0.0161231117579225
"Wave_1194",-0.0157003937623373
"Wave_1195",-0.0152473458842996
"Wave_1196",-0.0150279456789359
"Wave_1197",-0.0148161769929724
"Wave_1198",-0.0146160806477941
"Wave_1199",-0.0144656165768072
"Wave_1200",-0.0145749608234912
"Wave_1201",-0.0143031110275188
"Wave_1202",-0.0141071089036337
"Wave_1203",-0.0138503368499341
"Wave_1204",-0.0138606436778416
"Wave_1205",-0.0135891561258132
"Wave_1206",-0.0133210922026568
"Wave_1207",-0.01300866236487
"Wave_1208",-0.0128058200210969
"Wave_1209",-0.0124139806757928
"Wave_1210",-0.0119966210939643
"Wave_1211",-0.011639306135442
"Wave_1212",-0.0111930650234433
"Wave_1213",-0.0108082798100465
"Wave_1214",-0.0104434847786125
"Wave_1215",-0.00996835729562157
"Wave_1216",-0.00945305699790472
"Wave_1217",-0.00885739688891845
"Wave_1218",-0.00828823674042961
