"","Narea_g_m2.11.comps"
"Wave_1132",-0.0021256662514576
"Wave_1133",-0.00179652506323383
"Wave_1134",-0.00120282908601222
"Wave_1135",-0.000664910876827258
"Wave_1136",-0.00061528356470034
"Wave_1137",-0.000504076469442918
"Wave_1138",0.000528153678960099
"Wave_1139",0.000872418026205254
"Wave_1140",1.85404681136621e-05
"Wave_1141",0.000114661725333707
"Wave_1142",-0.00102616430717933
"Wave_1143",-0.00124764888648673
"Wave_1144",-0.000404570906401162
"Wave_1145",-0.00128644778194445
"Wave_1146",-0.00157244603234785
"Wave_1147",0.000322180081437511
"Wave_1148",0.00155970523781392
"Wave_1149",0.00224559354437968
"Wave_1150",0.00295091538666304
"Wave_1151",0.00392377143002479
"Wave_1152",0.00419682283209666
"Wave_1153",0.00347958395028485
"Wave_1154",0.00398501137871248
"Wave_1155",0.00440370371847169
"Wave_1156",0.00364850612445114
"Wave_1157",0.00386857293824533
"Wave_1158",0.00363550933831501
"Wave_1159",0.00301045778012255
"Wave_1160",0.00286850489309062
"Wave_1161",0.00271137292325629
"Wave_1162",0.00310322743848093
"Wave_1163",0.0027913100985924
"Wave_1164",0.00235370838493183
"Wave_1165",0.00186160185195477
"Wave_1166",0.00156464944124632
"Wave_1167",0.00131716119878117
"Wave_1168",0.0011338502671747
"Wave_1169",0.00100523261255164
"Wave_1170",0.00102329912534639
"Wave_1171",0.000967129834532311
"Wave_1172",0.000984034417391879
"Wave_1173",0.000931530271660913
"Wave_1174",0.000766071878784572
"Wave_1175",0.000456650778165076
"Wave_1176",6.6189760346638e-05
"Wave_1177",-0.000191961527559425
"Wave_1178",-0.000503419614068753
"Wave_1179",-0.000691496258048579
"Wave_1180",-0.000874818778413922
"Wave_1181",-0.00084770183271993
"Wave_1182",-0.000794415111214955
"Wave_1183",-0.000948574272587571
"Wave_1184",-0.00104996586021608
"Wave_1185",-0.00089188905873902
"Wave_1186",-0.000824871052494676
"Wave_1187",-0.000881309831059317
"Wave_1188",-0.00100797862490604
"Wave_1189",-0.00111895524415593
"Wave_1190",-0.00137767067642763
"Wave_1191",-0.00169182574035163
"Wave_1192",-0.00201944703609443
"Wave_1193",-0.00235001263693429
"Wave_1194",-0.00281302294377077
"Wave_1195",-0.00321442570732885
"Wave_1196",-0.00344626058268758
"Wave_1197",-0.00357956425451863
"Wave_1198",-0.00374037502628409
"Wave_1199",-0.00388486372237456
"Wave_1200",-0.00372133162130253
"Wave_1201",-0.00349169047807517
"Wave_1202",-0.00335440707298845
"Wave_1203",-0.00325962149702754
"Wave_1204",-0.00319475407236764
"Wave_1205",-0.00328880271543762
"Wave_1206",-0.00349111006221171
"Wave_1207",-0.00356300639132761
"Wave_1208",-0.00340835635639555
"Wave_1209",-0.00330081108858887
"Wave_1210",-0.00316071925385984
"Wave_1211",-0.00293125902605159
"Wave_1212",-0.00263922058105844
"Wave_1213",-0.00249174456900444
"Wave_1214",-0.00248566652399148
"Wave_1215",-0.00245434742709261
"Wave_1216",-0.00237254204849984
"Wave_1217",-0.00229871944592237
"Wave_1218",-0.0021727770304429
"Wave_1219",-0.00215295698741143
"Wave_1220",-0.00217468747587761
"Wave_1221",-0.00211167806252288
"Wave_1222",-0.00194328313830808
