"Location","Sample_ID","Sample_Date","USDA_Species_Code","Tleaf","RHs","CO2s","Ci","PhiCO2i","AsatG","Theta","Rday"
"Utqiagvik","BNL2148",20160719,"PEFR5",4.885963996,68.07427152,390.3617503,352.7155819,0.032183364,17.41320652,0.146183278,2.193264449
"Utqiagvik","BNL2155",20160719,"CAAQ",4.872546999,58.88562393,389.9869353,365.6661633,0.037621475,10.92198174,0.326010563,2.640197105
"Utqiagvik","BNL2160",20160719,"PEFR5",4.922833415,59.10901081,390.3399533,355.7410478,0.01610832,9.803399973,0.382846498,0.964116179
"Utqiagvik","BNL2163",20160719,"CAAQ",4.752197236,49.92844129,390.0883007,367.4257131,0.013870957,7.940500975,0.565049248,0.298971038
"Utqiagvik","BNL2165",20160719,"PEFR5",4.988217454,64.6708896,390.2276515,357.9094949,0.026815258,11.84740755,0.417912699,1.585982364
"Utqiagvik","BNL2175",20160720,"ARLA2",5.152712209,74.09144374,390.092974,366.8370613,0.021126174,8.899600381,0.681097213,2.087702251
"Utqiagvik","BNL2177",20160720,"ARLA2",5.082412243,71.05788307,389.9721176,353.5026914,0.020629577,7.970294435,0.50210442,0.735792136
"Utqiagvik","BNL2186",20160720,"PEFR5",5.136469015,83.59142812,390.4839132,360.6466833,0.031277272,12.80725184,0.405791132,2.48743122
"Utqiagvik","BNL2187",20160720,"ARFU2",5.250400135,52.43764196,390.1340986,339.3325018,0.025677411,9.663543258,0.684619699,1.034890135
"Utqiagvik","BNL2193",20160720,"PEFR5",5.103665795,79.51687132,390.410638,363.8614603,0.032180481,10.87446584,0.513841685,1.631069367
