"Location","Sample_ID","Sample_Date","USDA_Species_Code","Asat","Tleaf","Ci","VcmaxT_one_point","Vcmax25_Rog","Vcmax25_Bern"
"Utqiagvik","BNL2041",20160716,"PEFR5",11.65,15.11,210,34,72.0478059965078,83.9768280369377
"Utqiagvik","BNL2042",20160716,"PEFR5",9.92,15.19,146,39,82.1255969887641,95.6006189007297
"Utqiagvik","BNL2043",20160716,"PEFR5",10.51,15.18,190,33,69.5454591026957,80.9693202992
"Utqiagvik","BNL2148",20160719,"PEFR5",12.17,5.31,305,19,89.3143207600438,122.477175368278
"Utqiagvik","BNL2160",20160719,"PEFR5",7.44,5.45,315,11,51.1029018598805,69.9094927333601
"Utqiagvik","BNL2164",20160719,"PEFR5",12.81,6.61,341,20,84.3143511801219,113.080142035814
"Utqiagvik","BNL2165",20160719,"PEFR5",9.66,6.15,326,15,65.7124921733215,88.8253345056403
"Utqiagvik","BNL2166",20160719,"PEFR5",9.43,5.42,309,14,65.2043350307549,89.2463723578835
"Utqiagvik","BNL2186",20160720,"PEFR5",8.95,6.36,300,14,60.2643890320815,81.1697576431458
"Utqiagvik","BNL2193",20160720,"PEFR5",8.73,6.59,293,14,59.1185595335147,79.3152060571963
"Utqiagvik","BNL1876",20160712,"SAPU15",13.24,15.2,232,36,75.748764016867,88.1633672837369
"Utqiagvik","BNL1893",20160711,"SAPU15",15.24,15.07,316,33,70.1488096989652,81.8158410848641
"Utqiagvik","BNL1894",20160711,"SAPU15",15.18,15.21,312,34,71.484372367233,83.1867553891859
"Utqiagvik","BNL1895",20160711,"SAPU15",12.5,15.17,306,28,59.0546091649898,68.7662070318691
"Utqiagvik","BNL1896",20160711,"SAPU15",19.06,15.05,298,43,91.5497632525258,106.810399915722
"Utqiagvik","BNL1897",20160711,"SAPU15",11.65,15.12,298,27,57.169518660464,66.6244531421459
"Utqiagvik","BNL1931",20160712,"SAPU15",19.4,15.15,322,42,88.7211145588719,103.344504109771
"Utqiagvik","BNL1957",20160713,"SAPU15",16.45,15.7,298,39,78.9084714672901,91.1097985916664
"Utqiagvik","BNL1958",20160713,"SAPU15",13.93,24.17,264,62,65.906536793273,66.7332795378369
"Utqiagvik","BNL1962",20160713,"SAPU15",14.35,24.71,242,72,73.5508306312198,73.8713069690315
"Utqiagvik","BNL1966",20160714,"SAPU15",13.5,15.19,326,29,61.0677516070297,71.0876396954144
"Utqiagvik","BNL1967",20160714,"SAPU15",13.59,15.27,289,32,66.9634026396466,77.8508653836963
"Utqiagvik","BNL1978",20160714,"SAPU15",19.58,15.84,305,46,92.0584118276245,106.055979919752
"Utqiagvik","BNL1984",20160714,"SAPU15",23.6,15.66,298,55,111.629933860279,128.973169868942
"Utqiagvik","BNL2057",20160717,"SAPU15",6.52,4.67,335,10,49.61514575448,68.7910423536495
"Utqiagvik","BNL2058",20160717,"SAPU15",7.83,4.97,352,11,53.2111746180936,73.396513637969
"Utqiagvik","BNL2059",20160717,"SAPU15",8.15,5.15,279,13,61.9387496816966,85.1707208436828
"Utqiagvik","BNL2060",20160717,"SAPU15",5.66,5.11,365,8,38.2448547822555,52.6259048296261
"Utqiagvik","BNL2067",20160717,"SAPU15",8.35,5.15,341,12,57.1742304754122,78.6191269326303
"Utqiagvik","BNL2068",20160717,"SAPU15",8.17,5.19,331,12,56.981883639463,78.3007829803195
"Utqiagvik","BNL2069",20160717,"SAPU15",9.05,5.1,333,13,62.2002935211087,85.6039244594624
"Utqiagvik","BNL2070",20160717,"SAPU15",7.41,5.01,344,11,53.0319289995919,73.0989330419207
"Utqiagvik","BNL2103",20160718,"SAPU15",13.72,5.48,346,20,92.6803256063695,126.722775017343
"Utqiagvik","BNL2104",20160718,"SAPU15",12.2,5.16,357,18,85.6891166908488,117.809116835477
"Utqiagvik","BNL2105",20160718,"SAPU15",9.7,5.29,360,14,65.9214292219995,90.4294376278498
"Utqiagvik","BNL2106",20160718,"SAPU15",12.19,5.99,356,18,79.9181851329597,108.323125045363
